INSERT INTO produse (id, nume, producator, procesor, memorie, capacitateHDD, placa_video) VALUES
(1, 'Laptop Aspire 5', 'Acer', 'Intel Core i5-1035G1', '8GB', '512GB SSD', 'NVIDIA GeForce MX350'),
(2, 'Notebook ProBook 450', 'HP', 'Intel Core i7-1165G7', '16GB', '1TB HDD', 'Intel Iris Xe Graphics'),
(3, 'MacBook Air', 'Apple', 'Apple M1', '8GB', '256GB SSD', 'Integrated Apple GPU'),
(4, 'Inspiron 15', 'Dell', 'Intel Core i3-1115G4', '4GB', '1TB HDD', 'Intel UHD Graphics'),
(5, 'ZenBook 14', 'ASUS', 'AMD Ryzen 5 4500U', '16GB', '512GB SSD', 'AMD Radeon Graphics'),
(6, 'Legion 5', 'Lenovo', 'AMD Ryzen 7 5800H', '32GB', '1TB SSD', 'NVIDIA GeForce RTX 3060'),
(7, 'Pavilion x360', 'HP', 'Intel Core i5-1135G7', '8GB', '256GB SSD', 'Intel Iris Xe Graphics'),
(8, 'Surface Laptop 4', 'Microsoft', 'Intel Core i7-1185G7', '16GB', '512GB SSD', 'Intel Iris Xe Graphics'),
(9, 'ThinkPad X1 Carbon', 'Lenovo', 'Intel Core i7-10510U', '16GB', '1TB SSD', 'Intel UHD Graphics'),
(10, 'OMEN 15', 'HP', 'AMD Ryzen 9 5900HX', '32GB', '2TB SSD', 'NVIDIA GeForce RTX 3070'),
(11, 'Yoga Slim 7', 'Lenovo', 'AMD Ryzen 7 4800U', '16GB', '512GB SSD', 'Integrated AMD Radeon Graphics'),
(12, 'Swift 3', 'Acer', 'Intel Core i5-1135G7', '8GB', '256GB SSD', 'Intel Iris Xe Graphics'),
(13, 'XPS 13', 'Dell', 'Intel Core i7-1165G7', '16GB', '1TB SSD', 'Intel Iris Xe Graphics'),
(14, 'Elite Dragonfly', 'HP', 'Intel Core i5-8265U', '8GB', '256GB SSD', 'Intel UHD Graphics 620'),
(15, 'VivoBook S14', 'ASUS', 'Intel Core i7-10510U', '12GB', '512GB SSD', 'NVIDIA GeForce MX250'),
(16, 'Predator Helios 300', 'Acer', 'Intel Core i7-10750H', '16GB', '1TB SSD', 'NVIDIA GeForce RTX 2060'),
(17, 'Razer Blade 15', 'Razer', 'Intel Core i7-10875H', '16GB', '512GB SSD', 'NVIDIA GeForce RTX 2070'),
(18, 'G5 15', 'Dell', 'Intel Core i5-9300H', '8GB', '1TB HDD', 'NVIDIA GeForce GTX 1650'),
(19, 'Spectre x360', 'HP', 'Intel Core i7-1065G7', '16GB', '512GB SSD', 'Intel Iris Plus Graphics'),
